Gene,Diseases
BRCA1,"Abnormality of the ovary; BRCA1-related cancer predisposition; BRCA1-related disorder; Breast and colorectal cancer; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast ductal adenocarcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Burkitt lymphoma; Carcinoma of colon; Carcinoma of head of pancreas; Carcinoma of pancreas; Colorectal cancer; Colorectal cancer, susceptibility to, 1; Dysgerminoma; Endometrial carcinoma; Familial breast and ovarian cancer; Familial cancer of breast; Familial pancreatic carcinoma; Familial prostate cancer; Fanconi anemia complementation group A; Fanconi anemia, complementation group S; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Infant-type hemispheric glioma; Infiltrating duct carcinoma of breast; Inherited breast cancer and ovarian cancer; Inherited ovarian cancer (without breast cancer); Inherited prostate cancer; Invasive medullary breast carcinoma; Low grade glioma; Lung cancer; Lynch syndrome 1; Malignant tumor of breast; Malignant tumor of pancreas; Malignant tumor of urinary bladder; NICE approved PARP inhibitor treatment; Ovarian cancer; Ovarian carcinoma; Ovarian neoplasm; Ovarian serous surface papillary adenocarcinoma; Pancreatic cancer, susceptibility to; Pancreatic cancer, susceptibility to, 4; Peritoneum cancer; Periventricular nodular heterotopia; Pilocytic astrocytoma; Polyposis syndrome, hereditary mixed, 1; Prostate cancer; Punctate palmoplantar keratoderma type 2; Rhabdomyosarcoma; See cases; Triple-negative breast cancer; Uterine corpus cancer; bilateral breast cancer"
BRCA2,"Ateleiotic dwarfism; Atypical teratoid rhabdoid tumor; BAP1-related tumor predisposition syndrome; BRCA2-related cancer predisposition; BRCA2-related disorder; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast ductal adenocarcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Cancer or benign tumor; Carcinoma of colon; Carcinoma of esophagus; Carcinoma of male breast; Carcinoma of pancreas; Cerebral palsy; Chordoma; Colorectal cancer; Diffuse intrinsic pontine glioma; Diffuse midline glioma, H3 K27-altered; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; EBV-positive nodal T- and NK-cell lymphoma; Endometrial cancer; Endometrial carcinoma; Esophageal atresia/tracheoesophageal fistula; FLG-related disorder; Familial cancer of breast; Familial colorectal cancer type X; Familial pancreatic carcinoma; Familial prostate cancer; Fanconi anemia; Fanconi anemia complementation group D1; Focal-onset seizure; Gastric cancer; Genetic non-acquired premature ovarian failure; Glioma susceptibility 3; Hearing impairment; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colorectal carcinoma; Infiltrating duct carcinoma of breast; Inherited breast cancer and ovarian cancer; Inherited ovarian cancer (without breast cancer); Inherited prostate cancer; Intellectual disability; Invasive breast carcinoma; Invasive lobular breast carcinoma; Kabuki syndrome 1; Low grade glioma; Malignant lymphoma, large B-cell, diffuse; Malignant tumor of breast; Malignant tumor of esophagus; Malignant tumor of pancreas; Malignant tumor of urinary bladder; Medulloblastoma; Medulloblastoma SHH activated and TP53 wild-type; Medulloblastoma non-WNT/non-SHH; Melanoma; Melanoma, cutaneous malignant, susceptibility to, 1; Metastatic Prostate Small Cell Carcinoma; Microprolactinoma; Monogenic short statue; Multiple myeloma; NICE approved PARP inhibitor treatment; Nephroblastoma; Neuroblastoma; Neurodevelopmental delay; Neuroendocrine tumor of pancreas; Ovarian cancer; Ovarian neoplasm; Ovarian serous surface papillary adenocarcinoma; Pancreatic cancer, susceptibility to, 2; Pilocytic astrocytoma; Polydactyly; Polyposis syndrome, hereditary mixed, 1; Primary familial hypertrophic cardiomyopathy; Prostate cancer; Prostate neoplasm; Rhabdomyosarcoma; See cases; Uterine corpus cancer; Wilms tumor 1; bilateral breast cancer"
BRD3,Premature ovarian failure
BRF2,BRF2-related disorder; Prostate cancer
BRIP1,"BRIP1-associated familial cancer predisposition; BRIP1-related disorder; Breast and/or ovarian cancer; Breast cancer, early-onset; Breast carcinoma; Breast neoplasm; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Carcinoma of colon; Carcinoma of pancreas; Cervical cancer; Colorectal cancer; Diffuse intrinsic pontine glioma; Esophageal atresia/tracheoesophageal fistula; Familial cancer of breast; Familial ovarian cancer; Fanconi anemia; Fanconi anemia complementation group D2; Fanconi anemia complementation group J; Gastric cancer; Genetic non-acquired premature ovarian failure; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary skin disorder; Inherited ovarian cancer (without breast cancer); Malignant tumor of breast; Monogenic short stature; Neurodevelopmental delay; Ovarian Cancers; Ovarian cancer; Ovarian cancer, susceptibility to, 1; Ovarian neoplasm; Uterine corpus cancer"
BTK,"Agammaglobulinaemia with absent BTK expression; Autosomal recessive agammaglobulinemia 1; BTK-related disorder; Common variable immunodeficiency; EBV-positive nodal T- and NK-cell lymphoma; Inborn genetic diseases; Inherited Immunodeficiency Diseases; Malignant lymphoma, large B-cell, diffuse; X-linked agammaglobulinemia; X-linked agammaglobulinemia with growth hormone deficiency"
BYSL,NA
C11orf65,NA
C12orf43,NA
C1orf167,NA
C4A,Complement component 4a deficiency; Inborn genetic diseases
C8orf34,NA
CAHM,NA
CALR,CALR-related disorder; Primary myelofibrosis; Thrombocythemia 1
CARD11,Asthma; BENTA disease; CARD11-related disorder; Hemophagocytosis; Immunodeficiency 11b with atopic dermatitis; Inborn genetic diseases; Osteopenia; Severe combined immunodeficiency due to CARD11 deficiency; Splenomegaly
CARNS1,NA
CASC11,NA
CASP8,"Autoimmune lymphoproliferative syndrome type 2B; BREAST CANCER, PROTECTION AGAINST; CASP8-related disorder; Familial cancer of breast; Hepatocellular carcinoma; Inborn genetic diseases; Lung cancer; Lung cancer, protection against"
CBARP,NA
CBL,"B lymphoblastic leukemia lymphoma with hyperdiploidy; CBL-related disorder; Cardiovascular phenotype; Congenital heart disease; Epilepsy, early-onset; Fragile site 11b; Growth failure in early childhood; Hepatosplenomegaly; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Intellectual disability; Juvenile myelomonocytic leukemia; Left ventricular noncompaction cardiomyopathy; Malignant germ cell tumor of ovary; Microcephaly; Monogenic short statue; Myeloproliferative disorder; Neurodevelopmental disorder; Noonan syndrome; Noonan syndrome 1; Noonan syndrome and Noonan-related syndrome; Noonan syndrome-like disorder with juvenile myelomonocytic leukemia; Noonan-like syndrome; RASopathy; Rhabdomyosarcoma; See cases"
CCDC88B,NA
CCND1,"CCND1-related disorder; Colorectal cancer; Colorectal cancer, susceptibility to; Congenital long QT syndrome; MULTIPLE MYELOMA, t(11%3B14) TYPE, SUSCEPTIBILITY TO; Multiple myeloma; VON HIPPEL-LINDAU SYNDROME, MODIFIER OF; Von Hippel-Lindau syndrome"
CCND2,CCND2-related disorder; Inborn genetic diseases; Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1; Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3; Neuromuscular disease and ocular or auditory anomalies with or without seizures; Seizure
CCND2-AS1,NA
CCND3,NA
CCNE1,NA
CCNH,NA
CD19,"CD19-related disorder; Immunodeficiency, common variable, 2; Immunodeficiency, common variable, 3; Inborn genetic diseases; Inherited Immunodeficiency Diseases"
CD22,NA
CD276,Long QT syndrome
CD3D,CD3D-related disorder; Immunodeficiency 104; Immunodeficiency 19; Inborn genetic diseases; Severe combined immunodeficiency disease
CD3E,"CD3E-related disorder; Immunodeficiency 18; Immunodeficiency 18, severe combined immunodeficiency variant; Inborn genetic diseases; Severe combined immunodeficiency disease"
CD3EAP,NA
