Gene,Diseases
MEN1,"Abnormal circulating calcium concentration; Adrenocortical adenoma; Angiofibroma, somatic; Calcium nephrolithiasis; Chronic diarrhea; Diabetes mellitus; Diffuse midline glioma, H3 K27-altered; Ependymoma; Familial hyperparathyroidism or Hypocalciuric hypercalcaemia; Familial isolated hyperparathyroidism; Gastrointestinal stromal tumor; Gigantism; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hyperparathyroidism; Hyperparathyroidism 1; Hypertensive disorder; Lipoma, somatic; Lung carcinoid tumor; MEN1-related disorder; Medullary thyroid carcinoma; Multiple endocrine neoplasia; Multiple endocrine neoplasia, type 1; Neoplasm of the endocrine system; Neuroblastoma; Ovarian cancer; Pancreatic insulin-producing neuroendocrine tumor; Parathyroid adenoma, somatic; Parathyroid gland adenoma; Pituitary adenoma 5, multiple types; Pituitary dependent hypercortisolism; Primary hyperparathyroidism; Somatotroph adenoma; Thyroid adenoma"
MERTK,Autosomal recessive retinitis pigmentosa; Cone-rod dystrophy; Inborn genetic diseases; MERTK-related disorder; Optic atrophy; Retinal disorder; Retinal dystrophy; Retinitis pigmentosa; Retinitis pigmentosa 38
MET,"Arthrogryposis, distal, IIa 11; Arthrogryposis, distal, type 1A; Autism, susceptibility to, 9; Autosomal Recessive Nonsyndromic Hearing Loss and Deafness; Autosomal recessive nonsyndromic hearing loss 97; Breast carcinoma; Classic Hodgkin lymphoma; Colorectal cancer; Congenital diaphragmatic hernia; Hepatoblastoma; Hepatocellular carcinoma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary papillary renal cell carcinoma; Intellectual disability; Lung carcinoma; Lymphedema; MET-related disorder; Neuroblastoma; Nonsyndromic genetic hearing loss; Osteofibrous dysplasia; Ovarian cancer; Papillary renal cell carcinoma type 1; Pediatric hepatocellular carcinoma; Renal cell carcinoma; Squamous cell lung carcinoma"
METTL21EP,NA
METTL23,"Inborn genetic diseases; Intellectual disability; Intellectual disability, autosomal recessive 44; METTL23-related disorder"
MFSD11,NA
MFSD3,NA
MGA,MGA related disorder; Multiple myeloma; Premature ovarian failure 26
MIEN1,NA
MIR1237,NA
MIR3185,NA
MIR3190,NA
MIR3191,NA
MIR3918,NA
MIR4479,NA
MIR4640,NA
MIR4669,NA
MIR4673,NA
MIR4713,NA
MIR4713HG,NA
MIR4728,NA
MIR4761,NA
MIR483,NA
MIR5196,NA
MIR548L,NA
MIR559,NA
MIR636,NA
MIR6515,NA
MIR6759,NA
MIR6769B,NA
MIR6795,NA
MIR6894,NA
MIR6895,NA
MITF,"Anophthalmia-microphthalmia syndrome; Autosomal dominant nonsyndromic hearing loss; Coloboma, osteopetrosis, microphthalmia, macrocephaly, albinism, and deafness; Congenital sensorineural hearing impairment; Ear malformation; Familial melanoma; Hearing impairment; Hereditary breast ovarian cancer syndrome; Hereditary cancer-predisposing syndrome; Heterochromia iridis; Intellectual disability; MITF-related disorder; Melanoma; Melanoma, cutaneous malignant, susceptibility to, 8; Monogenic hearing loss; Nonsyndromic Deafness; Nonsyndromic genetic hearing loss; Oculocutaneous albinism type 4; Poliosis; Prelingual sensorineural hearing impairment; Rare genetic deafness; Renal cell carcinoma; Tietz syndrome; Waardenburg syndrome; Waardenburg syndrome type 1; Waardenburg syndrome type 2; Waardenburg syndrome type 2A"
MLH1,"Bile duct cancer; Breast and/or ovarian cancer; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Carcinoma of colon; Childhood neoplasm; Colon cancer; Colonic neoplasm; Colorectal cancer, hereditary nonpolyposis, type 2; Colorectal cancer, non-polyposis; Colorectal cancer, sporadic, susceptibility to; Endometrial carcinoma; Familial cancer of breast; Familial colorectal cancer; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colon cancer; Hereditary nonpolyposis colorectal carcinoma; Hereditary nonpolyposis colorectal neoplasms; Inherited MMR deficiency (Lynch syndrome); Inherited ovarian cancer (without breast cancer); Inherited polyposis and early onset colorectal cancer - germline testing; Lung adenocarcinoma; Lung cancer; Lynch syndrome; Lynch syndrome 1; Lynch syndrome 5; Lynch-like syndrome; MLH1-related disorder; Malignant tumor of breast; Mismatch repair cancer syndrome 1; Muir-Torré syndrome; Ovarian cancer; Primary peritoneal carcinoma; See cases; Squamous cell carcinoma"
MRE11,Ataxia-telangiectasia-like disorder; Ataxia-telangiectasia-like disorder 1; Breast carcinoma; Colonic neoplasm; Dementia; Depression; Dystonic disorder; Eccrine porocarcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; MRE11-related disorder; Malignant tumor of urinary bladder; Ovarian cancer; Ovarian neoplasm; Parkinsonian disorder; Premature ovarian insufficiency; Renal transitional cell carcinoma; See cases; Triple-negative breast cancer
MRPS18C,NA
MS4A1,"Immunodeficiency, common variable, 5; MS4A1-related disorder"
MSH2,"ADRENAL HYPERPLASIA, CONGENITAL, DUE TO 21-HYDROXYLASE DEFICIENCY; Ataxia-telangiectasia syndrome; Bile duct cancer; Breast and/or ovarian cancer; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Cancer or benign tumor; Carcinoma of colon; Colon cancer; Colonic diverticula; Colorectal cancer; Colorectal cancer, hereditary nonpolyposis, type 2; Colorectal cancer, non-polyposis; Endometrial carcinoma; Ependymoma; Familial cancer of breast; Familial colorectal cancer; Gastric cancer; Glioblastoma; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colon cancer; Hereditary nonpolyposis colorectal carcinoma; Hereditary nonpolyposis colorectal neoplasms; Infiltrating duct carcinoma of breast; Inherited MMR deficiency (Lynch syndrome); Inherited ovarian cancer (without breast cancer); Inherited polyposis and early onset colorectal cancer - germline testing; Intestinal polyposis syndrome; Lynch syndrome; Lynch syndrome 1; Lynch syndrome 4; Lynch-like syndrome; MSH2 POLYMORPHISM; MSH2-related disorder; Malignant glioma; Malignant tumor of ascending colon; Malignant tumor of breast; Mismatch repair cancer syndrome 1; Mismatch repair cancer syndrome 2; Muir-Torré syndrome; Multiple monogenic benign skin tumours; Ovarian cancer; Ovarian cyst; Ovarian neoplasm; Papillary renal cell carcinoma type 1; Polyp of colon; Rectal neoplasm; Rhabdomyosarcoma; Sarcoma; See cases; Sigmoid colon cancer; Uterine corpus cancer"
MSH3,"Constitutional megaloblastic anemia with severe neurologic disease; Diffuse midline glioma, H3 K27-altered; Endometrial carcinoma; Familial adenomatous polyposis 4; Gastrointestinal stromal tumor; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; MSH3-related disorder"
MSH6,"Abnormality of the ovary; B Lymphoblastic Leukemia/Lymphoma with t(9%3B22)(q34.1%3Bq11.2)%3B BCR-ABL1; Breast and/or ovarian cancer; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Carcinoma of colon; Cerebellar medulloblastoma; Colon adenocarcinoma; Colorectal / endometrial cancer; Colorectal cancer; Colorectal cancer, early onset; Colorectal cancer, non-polyposis; Endometrial cancer; Endometrial carcinoma; FBXO11-related disorder; Familial cancer of breast; Familial colorectal cancer; Familial prostate cancer; Gastric cancer; Gaucher disease type I; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary nonpolyposis colon cancer; Hereditary nonpolyposis colorectal carcinoma; Hereditary nonpolyposis colorectal neoplasms; Inborn genetic diseases; Inherited MMR deficiency (Lynch syndrome); Inherited ovarian cancer (without breast cancer); Inherited polyposis and early onset colorectal cancer - germline testing; Inherited prostate cancer; Intellectual developmental disorder with dysmorphic facies and behavioral abnormalities; Lung sarcomatoid carcinoma; Lynch syndrome; Lynch syndrome 1; Lynch syndrome 4; Lynch syndrome 5; Lynch-like syndrome; MSH6-related disorder; Malignant tumor of breast; Mismatch repair cancer syndrome 1; Mismatch repair cancer syndrome 3; Neurodevelopmental disorder; Ovarian cancer; Ovarian carcinoma; Ovarian neoplasm; Papillary carcinoma of the corpus uteri; Prostate cancer; Rhabdomyosarcoma; See cases; Sigmoid colon cancer; Uterine corpus cancer; bilateral breast cancer"
MST1R,"MST1R-related disorder; Multiple myeloma; Nasopharyngeal carcinoma, susceptibility to, 3"
MTHFR,"Abnormality of metabolism/homeostasis; Autism; Bilateral tonic-clonic seizure; Delayed speech and language development; Gastrointestinal stromal tumor; Generalized cerebral atrophy/hypoplasia; Global developmental delay; Homocystinuria due to methylene tetrahydrofolate reductase deficiency; Inborn genetic diseases; Infantile spasms; Intellectual disability; Lower limb spasticity; MTHFR THERMOLABILE POLYMORPHISM; MTHFR-related disorder; Mendelian syndromes with cleft lip/palate; Mental deterioration; Neural tube defect; Neural tube defects, folate-sensitive; Prostate cancer; Rare genetic intellectual disability; Schizophrenia; Schizophrenia, susceptibility to; Secondary microcephaly; See cases; Spasticity; Thrombophilia due to thrombin defect; Vascular dementia; methotrexate response - Toxicity"
MTOR,"Abnormal facial shape; Abnormality of the skeletal system; Autism spectrum disorder; Autosomal dominant epilepsy; CEBALID syndrome; Dystonia, early-onset, and/or spastic paraplegia; Familial thoracic aortic aneurysm and aortic dissection; Hemimegalencephaly; Inborn genetic diseases; Intellectual disability; Isolated focal cortical dysplasia type II; MTOR-related disorder; MTOR-related megalencephaly and pigmentary mosaicism in skin; Macrocephaly; Macrocephaly-intellectual disability-neurodevelopmental disorder-small thorax syndrome; Neurodevelopmental disorder; Neurodevelopmental disorder, MTOR related; Overgrowth syndrome; Overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes; Papillary renal cell carcinoma type 1; Rare genetic intellectual disability; See cases; Seizure; Severe intellectual disability"
MTOR-AS1,NA
MUTYH,"Anaplastic/large cell medulloblastoma; Autosomal recessive MUTYH-related disorders; B lymphoblastic leukemia lymphoma, no ICD-O subtype; Breast carcinoma; Carcinoma of colon; Colon cancer; Colonic neoplasm; Colorectal adenomatous polyposis, autosomal recessive, with pilomatricomas; Colorectal cancer; Colorectal polyposis; Diffuse midline glioma, H3 K27-altered; Dysembryoplastic neuroepithelial tumor; Endometrial cancer; Endometrial carcinoma; Ependymoma; Familial adenomatous polyposis 1; Familial adenomatous polyposis 2; Familial cancer of breast; Familial colorectal cancer; Familial colorectal cancer type X; Familial multiple polyposis syndrome; Gastric cancer; Hepatoblastoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary spastic paraplegia 7; Inborn genetic diseases; Infant-type hemispheric glioma; Inherited polyposis and early onset colorectal cancer - germline testing; Lynch syndrome 1; MUTYH-related Breast Cancer; MUTYH-related disorder; Malignant tumor of breast; Medulloblastoma; Medulloblastoma SHH activated and TP53 wild-type; Neoplasm of stomach; Ovarian cancer; Ovarian carcinoma; Pilocytic astrocytoma; Pilomatrixoma; Pleomorphic xanthoastrocytoma BRAF mutant; Pontocerebellar hypoplasia type 7; Retinoblastoma; See cases; Small intestine carcinoid; TOE1-related disorder"
MYB,MYB-related disorder
MYC,Burkitt lymphoma; Cholesteatoma of middle ear; Classic Hodgkin lymphoma; MYC-related disorder; Premature ovarian failure
MYCL,NA
Mar-09,NA
NBN,"Acute lymphoid leukemia; Aplastic anemia; Breast and/or ovarian cancer; Breast cancer, susceptibility to; Breast carcinoma; Breast-ovarian cancer, familial, susceptibility to, 1; Breast-ovarian cancer, familial, susceptibility to, 2; Carcinoma of colon; Carcinoma of pancreas; Diffuse midline glioma, H3 K27-altered; Familial cancer of breast; Familial ovarian cancer; Familial prostate cancer; Gastric cancer; Hepatocellular carcinoma; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Leukemia, acute lymphoblastic, susceptibility to; Leukemia, acute lymphocytic, susceptibility to, 1; Lissencephaly; Lymphoma; Malignant lymphoma, large B-cell, diffuse; Malignant tumor of breast; Microcephaly; Microcephaly, normal intelligence and immunodeficiency; Monogenic short stature; NBN-related disorder; Ovarian cancer; Ovarian carcinoma; Pediatric high-grade glioma; Premature ovarian insufficiency; Prostate cancer; Prostate cancer susceptibility; See cases"
NCOA3,Bilateral sensorineural hearing impairment
NCOR1,Autism spectrum disorder; Developmental delay; Familial cancer of breast; Hyperlaxity; NCOR1-related Neurodevelopmental disorder; NCOR1-related autism spectrum disorder; NCOR1-related disorder; Thin skin
NDUFA6-AS1,NA
NEGR1,NEGR1-related disorder
NF1,"Abnormal electroretinogram; Abnormal lymph node morphology; Abnormal macular morphology; Abnormal macular pigmentation; Abnormality of the skin; Abnormality of vision; Acute monoblastic leukemia; Acute monocytic leukemia; Astrocytoma IDH-mutant; Atypical coarctation of aorta; Autism spectrum disorder; Axillary freckling; Bardet-Biedl syndrome 9; Breast-ovarian cancer, familial, susceptibility to, 1; Cafe au lait spots, multiple; Cafe-au-lait spot; Café-au-lait macules with pulmonary stenosis; Cardiovascular phenotype; Cervical lymphadenopathy; Chromosome 17q11.2 deletion syndrome, 1.4Mb; Cleft palate; Craniopharyngioma; Delayed fine motor development; Delayed speech and language development; Developmental defect during embryogenesis; Diffuse intrinsic pontine glioma; Diffuse midline glioma, H3 K27-altered; Diffuse pediatric-type high-grade glioma, H3-wildtype and IDH-wildtype; EEG with generalized slow activity; EVI2A-related disorder; Ewing sarcoma; Febrile seizure (within the age range of 3 months to 6 years); Floppy infant; Focal T2 hyperintense basal ganglia lesion; Focal-onset seizure; Gastric cancer; Hereditary breast ovarian cancer syndrome; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hereditary pheochromocytoma and paraganglioma; Hyperactivity; Inborn genetic diseases; Increased nuchal translucency; Inguinal freckling; Intellectual disability; Juvenile myelomonocytic leukemia; Keratoconus; Large cafe-au-lait macules with irregular margins; Lisch nodules; Lymphedema; Macrocephaly; Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss; Male infertility with azoospermia or oligozoospermia due to single gene mutation; Malignant lymphoma, large B-cell, diffuse; Malignant tumor of urinary bladder; Microcephaly; Mosaic neurofibromatosis type 1; Motor delay; Moyamoya angiopathy; Multiple myeloma; Myeloproliferative neoplasm, unclassifiable; Myopathy, centronuclear, 5; NF1-related disorder; Neoplasm of brain; Neurocutaneous syndrome; Neurodevelopmental delay; Neurofibrmatosis type 1; Neurofibroma; Neurofibromatosis; Neurofibromatosis type 1 due to NF1 mutation or intragenic deletion; Neurofibromatosis, familial spinal; Neurofibromatosis, type 1; Neurofibromatosis-Noonan syndrome; OMG-related disorder; Optic nerve glioma; Ovarian cancer; Pheochromocytoma; Pigmentary skin disorders; Pilocytic astrocytoma; Plexiform neurofibroma; Precursor B-cell acute lymphoblastic leukemia; Premature birth; Primary familial hypertrophic cardiomyopathy; RASopathy; Retinoblastoma; Rhabdomyosarcoma; See cases; Spinal neurofibroma; Strabismus; Subcutaneous neurofibroma; Thoracic scoliosis; Tibial pseudarthrosis; Tuberous sclerosis syndrome; Vascular dilatation; Visual loss"
NF2,"Acoustic neuroma; Autosomal dominant polycystic liver disease; Bilateral vestibular schwannoma; Choroid plexus carcinoma; Ependymoma; Familial meningioma; Hereditary cancer; Hereditary cancer-predisposing syndrome; Inborn genetic diseases; Malignant neoplasm of nervous system; Malignant tumor of breast; Marfanoid habitus and intellectual disability; Meningioma; NF2-related disorder; Neurofibromatosis, type 1; Neurofibromatosis, type 2; SMARCB1-related schwannomatosis; See cases; Spindle cell sarcoma"
NFKBIA,Ectodermal dysplasia and immunodeficiency 2; Inborn genetic diseases; Inherited Immunodeficiency Diseases; NFKBIA-related disorder; Prostate cancer; Sterile multifocal osteomyelitis with periostitis and pustulosis
NOP10,"Cataracts, hearing impairment, nephrotic syndrome, and enterocolitis 2; Dyskeratosis congenita; Dyskeratosis congenita, autosomal recessive 1; Hereditary cancer-predisposing syndrome; Pulmonary fibrosis and/or bone marrow failure syndrome, telomere-related, 9"
NOTCH1,"Abnormal cardiovascular system morphology; Abnormal vena cava morphology; Abnormality of connective tissue; Adams-Oliver syndrome; Adams-Oliver syndrome 2; Adams-Oliver syndrome 5; Anophthalmia-microphthalmia syndrome; Aortic tortuosity; Aortic valve disease 1; Aortic valve disorder; Arterial dissection; Autosomal dominant NOTCH1-related disorders; Benign hereditary chorea; Bicuspid aortic valve; Cardiovascular phenotype; Cataract; Cholesteatoma of middle ear; Chronic adenoiditis; Congenital anomaly of kidney and urinary tract; Congenital heart anomalies; Congenital heart disease; Connective tissue disorder; Early T cell progenitor acute lymphoblastic leukemia; Ehlers-Danlos syndrome, type 3; Esophageal atresia; Familial thoracic aortic aneurysm and aortic dissection; Heart, malformation of; Hypoplastic left heart syndrome; Inborn genetic diseases; KA-like vemurafenib-induced squamous lesions; Keratoacanthoma; Marfan syndrome; Myeloproliferative neoplasm, unclassifiable; NOTCH1-related disorder; Narrow palate; Neurofibromatosis, type 1; Pulmonary arterial hypertension; Pyloric stenosis; See cases; Shone complex; Tetralogy of Fallot; Thoracic aortic aneurysm"
NOTCH2,"Alagille syndrome due to a NOTCH2 point mutation; Congenital anomaly of kidney and urinary tract; Congenital heart anomalies; Congenital heart disease; Hajdu-Cheney syndrome; Hereditary breast ovarian cancer syndrome; Hirschsprung disease, susceptibility to, 1; Hypoplastic left heart syndrome; Inborn genetic diseases; KA-like vemurafenib-induced squamous lesions; Keratoacanthoma; Monoclonal B-Cell Lymphocytosis; NOTCH2-related disorder; Paediatric disorders; Premature ovarian failure; See cases; VATER association"
NOTCH3,"Abnormal brain morphology; Abnormal cerebral white matter morphology; Adams-Oliver syndrome 5; Adult onset neurodegenerative disorder; Atypical behavior; Auditory neuropathy; Breast ductal adenocarcinoma; Cerebral arterial disease; Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy; Cerebral arteriopathy with subcortical infarcts and leukoencephalopathy 2; Cerebral arteriopathy, autosomal dominant, with subcortical infarcts and leukoencephalopathy, type 1; Cerebral arteriopathy, autosomal recessive, with subcortical infarcts and leukoencephalopathy 1; Cerebral cavernous malformation; Cerebral small vessel disease; Cognitive impairment; Depression; Familial partial lipodystrophy, Kobberling type; Inborn genetic diseases; Ischemic stroke; Lateral meningocele syndrome; Leukodystrophy, Adult-Onset; Migraine; Migraine with aura; Migraine without aura; Myofibromatosis, infantile, 1; Myofibromatosis, infantile, 2; NOTCH3-related disorder; Progressive psychomotor deterioration; Prostate cancer; Pulmonary arterial hypertension; Recurrent subcortical infarcts; See cases; Sneddon syndrome; Stroke disorder; Tension-type headache; Transient ischemic attack; Vascular dementia; Vascular parkinsonism"
NOTCH4,Aganglionic megacolon; Anophthalmia-microphthalmia syndrome; Cerebral arteriovenous malformation; Congenital anomaly of kidney and urinary tract; Congenital heart disease
NPM1,Acute myeloid leukemia; Acute myeloid leukemia with multilineage dysplasia; Bone marrow failure syndrome; Dyskeratosis congenita; Myelodysplastic syndrome progressed to acute myeloid leukemia; NPM1-related disorder
NQO1,"Benzene toxicity, susceptibility to; Gastric cancer; NQO1-related disorder"
NSD1,Abnormal cerebral morphology; Acute myeloid leukemia; Beckwith-Wiedemann syndrome; Choroid plexus carcinoma; Congenital diaphragamitc hernia; Delayed gross motor development; Delayed speech and language development; Global developmental delay; Hereditary cancer; Hereditary spastic paraplegia 8; High anterior hairline; High forehead; Holoprosencephaly 2; Hypertelorism; Hypoplasia of the corpus callosum; Inborn genetic diseases; Increased body weight; Intellectual disability; Macrocephaly; Marfanoid habitus and intellectual disability; Microcephaly; NSD1-related disorder; Neurodevelopmental delay; Neurodevelopmental disorder; Non-immune hydrops fetalis; Osteopenia; Overgrowth; Pointed chin; Preeclampsia; Scoliosis; See cases; Sotos syndrome; Tall stature
NSD2,4p partial monosomy syndrome; Anemia; Clubfoot; Enlarged kidney; Furrowed tongue; Hepatomegaly; Hypertrophic cardiomyopathy; Hypoglycemia; Inborn genetic diseases; Intracranial hemorrhage; Lymphoma; Macroglossia; Microcephaly; NSD2-associated disorder; NSD2-related disorder; NSD2-related neurodevelopmental disorder; Neurodevelopmental delay; Neurodevelopmental disorder; Persistent patent ductus venosus; Rauch-Steindl syndrome; Retrognathia; Syndromic intellectual disability; Thrombocytopenia; Ventricular septal defect; WHSC1-related disorder; Wolf-Hirschhorn like syndrome; atypical Wolf-Hirschhorn syndrome
NT5C2,Hereditary spastic paraplegia; Hereditary spastic paraplegia 45; Inborn genetic diseases; Microcephaly; NT5C2-related disorder; Neurodevelopmental disorder
NTRK1,Aganglionic megacolon; Charcot-Marie-Tooth disease; Familial medullary thyroid carcinoma; Hereditary cancer; Hereditary insensitivity to pain with anhidrosis; Hereditary sensory and autonomic neuropathy; Inborn genetic diseases; Intellectual disability; NTRK1-related disorder; Neurodevelopmental disorder; Ovarian cancer; PAIN SENSITIVITY QUANTITATIVE TRAIT LOCUS 1; Premature ovarian failure; Pyruvate kinase deficiency of red cells; X-linked lymphoproliferative disease due to SH2D1A deficiency
NTRK2,"Autism spectrum disorder; Developmental and epileptic encephalopathy, 58; Developmental disorder; Early onset severe obesity; Inborn genetic diseases; Inherited obesity; Intellectual disability; NTRK2-related disorder; Neuroblastoma; Obesity; Obesity, hyperphagia, and developmental delay; See cases"
NTRK3,Cabozantinib resistance; Entrectinib resistance; Larotrectinib resistance; NTRK3-related disorder; Neonatal cardiomyopathy; Premature ovarian insufficiency; Repotrectinib resistance; Selitrectinib resistance
NUF2,4p partial monosomy syndrome; Microcephaly; Short stature
NUP93,"Focal segmental glomerulosclerosis; Inborn genetic diseases; NUP93-related disorder; Nephrotic syndrome; Nephrotic syndrome, type 12"
NUTM1,NA
OBSL1,3M syndrome 1; 3M syndrome 2; Inborn genetic diseases; Monogenic short stature; OBSL1-related disorder; Short stature
P2RX2,Autosomal dominant nonsyndromic hearing loss; Autosomal dominant nonsyndromic hearing loss 41; Bilateral sensorineural hearing impairment; P2RX2-related disorder
PA2G4,NA
PAFAH1B3,Autism spectrum disorder
PAK3,"Congenital anomaly of kidney and urinary tract; History of neurodevelopmental disorder; Inborn genetic diseases; Intellectual disability; Intellectual disability, X-linked 30; Microcephaly; PAK3-related disorder"
PAK5,NA
PANDAR,NA
PARK2,NA
PARP1,Hereditary renal cell carcinoma; PARP1-related disorder
PARP2,NA
PAX5,"Acute lymphoid leukemia; Inborn genetic diseases; Leukemia, acute lymphoblastic, susceptibility to, 3; Neurodevelopmental disorder; PAX5-related disorder"
PDCD1,PDCD1-related disorder; RECLASSIFIED - PDCD1 POLYMORPHISM
PDCD1LG2,NA
PDGFRA,"Carcinoma of colon; Gastrointestinal stromal tumor; Hereditary cancer; Hereditary cancer-predisposing syndrome; Hypereosinophilic syndrome, idiopathic, resistant to imatinib; Idiopathic hypereosinophilic syndrome; Isolated cleft palate; Lung sarcomatoid carcinoma; Myeloproliferative neoplasm, unclassifiable; Ovarian cancer; PDGFRA-related disorder; Polyps, multiple and recurrent inflammatory fibroid, gastrointestinal; Squamous cell lung carcinoma"
PDIA2,NA
PGR,NA
PGR-AS1,NA
PHOX2A,"Fibrosis of extraocular muscles, congenital, 2; Inborn genetic diseases; PHOX2A-related disorder"
PIK3C2B,PIK3C2B-related disorder
PIK3C2G,Esophageal atresia/tracheoesophageal fistula; PLCZ1-related disorder; Premature coronary artery atherosclerosis; Spermatogenic failure 17
PIK3C3,NA
PIK3CA,"Abnormal cardiovascular system morphology; Abnormal cerebral morphology; Abnormality of the hairline; Angioosteohypertrophic syndrome; Arteriovenous malformation; Breast adenocarcinoma; Breast carcinoma; CEREBRAL CAVERNOUS MALFORMATIONS 4, SOMATIC; CLAPO syndrome; CLOVES syndrome; Capillary malformation; Capillary malformation-arteriovenous malformation 1; Carcinoma of colon; Cavernous lymphangioma; Cerebral cavernous malformation 4; Cerebrofacial Vascular Metameric Syndrome (CVMS); Colorectal cancer; Congenital macrodactylia; Corpus callosum, agenesis of; Cowden syndrome; Cowden syndrome 1; Cowden syndrome 5; Diaphragmatic eventration; Eccrine angiomatous hamartoma; Ectopic tissue; Endometrial carcinoma; Epidermal nevus; Facial asymmetry; Familial cancer of breast; Focal-onset seizure; Gallbladder cancer; Gastric cancer; Global developmental delay; Glycogen storage disease, type II; HEMIFACIAL MYOHYPERPLASIA, SOMATIC; Hemifacial myohyperplasia; Hemihypertrophy; Hemimegalencephaly; Hepatocellular carcinoma; Hereditary cancer-predisposing syndrome; Histone Methylation Therapy response; Hypertelorism; Hypospadias; Inborn genetic diseases; Intestinal duplication; Keratoacanthoma; Klippel-Trenaunay-like-Syndrome; Lip and oral cavity carcinoma; Lung cancer; Lung carcinoma; Lymphatic malformation; MACRODACTYLY, SOMATIC; Macrocephaly; Macrodactyly of toe; Malignant tumor of urinary bladder; Megalencephaly, autosomal dominant; Megalencephaly-capillary malformation-polymicrogyria syndrome; Neoplasm of stomach; Non-small cell lung carcinoma; Noonan syndrome 8; OVARIAN CANCER, EPITHELIAL, SOMATIC; Ovarian cancer; Ovarian neoplasm; Overgrowth; Overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes; PIK3C1-related disorder; PIK3CA constitutional syndrome; PIK3CA overgrowth syndrome; PIK3CA related overgrowth syndrome; PIK3CA-Related Overgrowth Spectrum Disorders; PIK3CA-related disorder; PIK3CA-related overgrowth; Polycystic kidney disease; Prostate cancer; Rare combined vascular malformation; Rare venous malformation; Rosette-forming glioneuronal tumor; Sarcoma; Seborrheic keratosis; See cases; Segmental undergrowth associated with lymphatic malformation; Segmental undergrowth associated with mainly venous malformation with capillary component; Seizure; Squamous cell lung carcinoma; Stroke disorder"
PIK3CG,Cystic fibrosis; Immunodeficiency 97 with autoinflammation; Inborn genetic diseases; Keratoconus; Long QT syndrome; PIK3CG-related disorder; Prostate cancer
PIK3R1,"Activated PI3K-delta syndrome; Agammaglobulinemia 7, autosomal recessive; CLOVES syndrome; Colorectal cancer; Immunodeficiency 14; Immunodeficiency 36 with lymphoproliferation; Inborn genetic diseases; Inherited Immunodeficiency Diseases; Multiple congenital anomalies/dysmorphic syndrome; Overgrowth syndrome; PIK3R1-related disorder; Prostate cancer; SHORT syndrome; See cases; Vascular Malformations and Overgrowth; Vascular malformation"
PIK3R2,Inborn genetic diseases; Intellectual disability; Megalencephaly-capillary malformation-polymicrogyria syndrome; Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1; Megalencephaly-polymicrogyria-postaxial polydactyly-hydrocephalus syndrome; Multiple myeloma; Overgrowth syndrome; Overgrowth syndrome and/or cerebral malformations; Overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes; PIK3R2-related disorder; Seizure
PIK3R3,Familial cancer of breast
PIM1,NA
PLCG2,Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation; Clonal Cytopenia of Undetermined Significance; Familial cold autoinflammatory syndrome; Familial cold autoinflammatory syndrome 3; Inborn genetic diseases; PLCG2-related disorder; Recurrent fever
PLEKHJ1,NA
PLK2,Esophageal atresia; Hereditary breast ovarian cancer syndrome; Pyloric stenosis
